cefr_a,cefr_b,level_distance,level_dist_weight,threshold_used,needs_screening,source_a,source_b,text_a,text_b,similarity,score,avg_word_len_delta,ttr_delta,num_words_delta
A1,B2,3,1.4,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Winters died on 23 April 2019 , at the age of 80 .","Winters died on 23 April 2019 at the age of 80 , from congestive heart failure .",0.9371,1.312,1.0,0.0,4.0
B1,C2,3,1.4,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Sexual reproduction first appeared about a billion years ago .,Sexual reproduction first probably evolved about a billion years ago within ancestral single -celled eukaryotes .,0.8772,1.228,0.622,0.0,6.0
A1,B2,3,1.4,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Stubing died on 3 July 2017 in Rome , age 76 .",Stubing died on 3 July 2017 at her home in Rome from multiple myeloma at the age of 76 .,0.8592,1.2029,0.098,0.062,9.0
B1,C2,3,1.4,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Some fish change sex over the course of their life .,"Many fish change sex over the course of their lifespan , a phenomenon called sequential hermaphroditism .",0.8442,1.1819,1.7,0.0,5.0
A2,C1,3,1.4,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The oldest parts of the building date from 1094 .,The oldest parts of the building have been dated by dendrochronology to 1094 .,0.8375,1.1725,0.625,0.042,4.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The province is divided into 6 districts and 12 municipalities .,The province has 6 districts and 12 municipalities .,0.9686,1.1623,0.417,0.0,2.0
A1,C1,4,1.6,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died , aged 80 on 23 July , 2014 .","He died on June 21 , 2014 from acute respiratory failure after being hospitalized with pneumonia , aged 88 .",0.725,1.1599,2.371,0.0,9.0
B1,C1,2,1.2,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The traditional food is famous for many vegetables and greens used seasonally in the dishes .,The traditional cuisine is famous for an abundance of vegetables and greens used seasonally in the dishes .,0.9631,1.1557,0.102,0.008,2.0
A2,C1,3,1.4,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,They feed on insects and fruit .,"They feed on insects and fruit , and their broad bills and weak legs reflect their diet and arboreal habits .",0.8246,1.1544,0.412,0.211,13.0
A1,C1,4,1.6,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died , aged 80 , on 22 July 2014 .","He died on June 21 , 2014 from acute respiratory failure after being hospitalized with pneumonia , aged 88 .",0.7192,1.1507,2.371,0.0,9.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Building construction is the process of adding structure to real property .,Building construction is the process of adding structure to real property or construction of buildings .,0.9567,1.148,0.139,0.133,4.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Kodkods are active during the day and night , but they only go into open ground under the cover of darkness .","Kodkods are equally active during the day and during the night , although they only venture into open terrain under the cover of darkness .",0.9559,1.1471,0.613,0.08,3.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"During December to March , the lake turns to a vibrant cobalt blue color .","During December to March , the lake turns to a vibrant cobalt blue color , returning to a colder steel grey color for April to November .",0.954,1.1448,0.038,0.131,11.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"The island 's animals are mainly birds , although rabbits are long established here .","The island 's animals are mainly of the avian variety , although rabbits are long established here .",0.9516,1.1419,0.231,0.048,3.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/readme_en,UniversalCEFR/cefr_sp_en,"Psychology is the scientific study of behavior, cognition, and emotion","Psychology is the scientific study of human behavior , mental functioning , and experience .",0.9504,1.1405,0.35,0.0,2.0
A1,B1,2,1.2,0.6,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Alsop died on 12 May 2018 at the age of 70 .,Alsop died after a short illness on 12 May 2018 at the age of 70 .,0.9493,1.1392,0.5,0.0,4.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Twenty - eight merchant ships with more than 34000 ST of cargo were sunk or destroyed .,Twenty - eight merchant ships laden with more than 34000 ST of cargo were sunk or destroyed ; three ships carrying a further 7500 ST were later salvaged .,0.9358,1.1229,0.179,0.125,10.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,In 1839 smallpox killed many of the people who lived in the area .,There was a smallpox epidemic in 1839 that killed a large part of the population of the area .,0.9348,1.1217,0.176,0.01,5.0
B1,C1,2,1.2,0.75,similar_complexity,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"A lot of classical guitar music is in E minor , because this key is very suited for the instrument .","Much of the classical guitar repertoire is in E minor , as this is a very natural key for the instrument .",0.934,1.1208,0.045,0.047,1.0
A1,C1,4,1.6,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died , aged 80 on 23 July , 2014 .",He died on 21 June 2014 from acute respiratory failure after being hospitalized with pneumonia .,0.7003,1.1205,2.492,0.0,8.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Currently , the Philippines is divided into 17 regions .",The Philippines has 17 administrative regions .,0.9335,1.1202,1.457,0.0,2.0
B2,C2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Some enzymes need several cofactors .,Some enzymes or enzyme complexes require several cofactors .,0.9333,1.12,0.175,0.0,3.0
A1,C1,4,1.6,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,He died on 18 October 2017 .,"He died on 17 January 2018 from hypothermia , four days after his 52nd birthday .",0.6963,1.1141,1.159,0.0,7.0
A1,C1,4,1.6,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died , aged 80 , on 22 July 2014 .",He died on 21 June 2014 from acute respiratory failure after being hospitalized with pneumonia .,0.696,1.1135,2.492,0.0,8.0
A1,C1,4,1.6,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died on 3 May 2015 , aged 84 , after a long illness .","He died on June 21 , 2014 from acute respiratory failure after being hospitalized with pneumonia , aged 88 .",0.6954,1.1126,2.016,0.0,5.0
A1,B1,2,1.2,0.6,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Moody died in hospital on 11 June 2015 , aged 91 .","Moody died of natural causes whilst in a London hospital on 11 June 2015 , aged 91 .",0.9213,1.1056,0.242,0.0,6.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"In 2010 , he came out as homosexual .","In 2010 , he came out as homosexual , after previously describing himself as bisexual .",0.9211,1.1053,1.583,0.083,6.0
B2,C2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"In the past , non-photosynthetic plants were thought to get food by breaking down organic matter like fungi do .","In the past , non-photosynthetic plants were mistakenly thought to get food by breaking down organic matter in a manner similar to saprotrophic fungi .",0.9174,1.1008,0.43,0.083,5.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"At first , during the 1820s and 1830s , she just wrote for piano .","At first , during the 1820s and 1830s , she composed exclusively for the piano .",0.9156,1.0987,0.827,0.091,1.0
A2,B2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Up to five players can play at a time .,Up to five players can play simultaneously .,0.9155,1.0986,1.921,0.0,2.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,Eucalypts draw a very large amount of water from the soil .,Eucalypts draw a tremendous amount of water from the soil through the process of transpiration .,0.9126,1.0951,1.061,0.133,4.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"The Red Crown is often shown in texts , wall carvings and statues .",The Red Crown frequently is mentioned in texts and depicted in reliefs and statues .,0.9099,1.0919,0.595,0.143,2.0
B2,C2,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"Since hummingbirds are specialized nectar-eaters , they are tied to the bird- flowers they feed upon .",Hummingbirds are specialized nectarivores and are tied to the ornithophilous flowers upon which they feed .,0.9055,1.0866,0.942,0.058,1.0
B1,C1,2,1.2,0.75,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,The main entrance to the castle is through the western barbican .,"The main entrance to the castle is through the western barbican , an exterior defence in front of the main gate .",0.9034,1.084,0.318,0.018,9.0
A1,C1,4,1.6,0.55,ok,UniversalCEFR/cefr_sp_en,UniversalCEFR/cefr_sp_en,"He died on 6 January 2015 , aged 82 .","He died on June 21 , 2014 from acute respiratory failure after being hospitalized with pneumonia , aged 88 .",0.6773,1.0837,1.771,0.0,9.0
