dataset,doc_id,seg_id,english,chinese,char_count,word_count,char_bin,word_bin
newstest2018.en-zh.xml,008_20180116a0zzps,12,"First, the displacement will be increased significantly compared to the current 054A model. It is estimated that the displacement of the new frigate will reach about 5000-6000 tons. The ship will be equipped with a comprehensive electric propulsion system that combines a QC280 modified gas turbine and two diesel engines, improving the maximum speed to around 30 knots and significantly increase the cruise range. As for the weaponry, the 76mm main gun and 1130 near-range anti-aircraft gun will be retained, but a HQ-10 launch system will be added. A shared vertical launching system for 32-48 unit HQ-16 modified missile and Fish-8 missiles will be furnished at the back of the main gun. A large 8-16-unit vertical launching system should be furnished at the middle-to-rear section of the hull for the launch of YJ-18 and new cruise missiles. Hangars and parking platforms will also be expanded for the parking and storage of two 10-ton helicopters. As for the electronic radar systems, the high grade model will be equipped with a small four-sided fixed phase-control array radar developed based on 346A. the low grade model will be furnished with multi-function rotating phased array radar similar to the ones on European frigates.",首先来说排水量相对于现在的054A型护卫舰将有一个大幅度的增加，估计新型护卫舰的排水量会达到5000-6000吨左右;动力系统将会采用有一台QC280改进型燃气轮机和两台柴油机组成的综合电力推进系统，最高航速有望达到30节左右，续航力也会大幅度增加;至于武器配置76毫米主炮和1130近防炮应该会保留，但是会增加一座红旗10发射系统，主炮后面应该会有一个32-48单元红旗16改进型和鱼-8共架的垂发系统，在舰体中后方应该会加装一个8-16单元的大型垂发系统用于发射鹰击18和新型巡航导弹;机库和停机平台也会增大，达到两架10吨级直升机的停放和存放;至于电子雷达系统方面，高配的话应该会装备基于346A发展的小型四面固定相控阵雷达，低配的话可以使用类似于欧洲护卫舰上的多功能旋转相控阵雷达。,1236,199,1000-1499,150-199
newstest2020.en-zh.xml,reuters.276668,12,"Endeavor Group Holdings (EDR.N), an entertainment and talent agency company backed by Hollywood power broker Ari Emanuel with a track record of losses, made a last-minute decision to abandon its IPO due to the tough market conditions. Taking a lesson from the struggles earlier in 2019 of ride-hailing companies Uber Technologies (UBER.N) and Lyft Inc (LYFT.O), which have no stated timetable for becoming profitable, investors have started to push back on companies with a history of steep losses. ""It will be a dialogue among bankers and boards and senior management teams where they say, ""these were isolated and not comparable,"" or say ""we have a sentiment shift and we need to be more conservative and use a different strategy,"""" said David Ethridge, U.S. IPO services leader at audit firm PwC. The market was more receptive to lesser-known names such as cyber security company Ping Identity PING.N and cloud monitoring company Datadog Inc DDOG.O. Both companies have reported more modest losses and rely on selling to companies rather than to consumers.",由好莱坞重量级经纪人阿里·伊曼纽尔支持的娱乐及人才经纪公司 Endeavor Group Holdings (EDR.N) 因市场形势严峻，在最后一刻决定放弃首次公开募股，该公司过去曾有过亏损记录。2019 年早些时候，约车公司优步科技 (UBER.N) 和 Lyft Inc (LYFT.O) 还没有明确的盈利时间表，吸取了这两家公司的教训，投资者已经开始推迟投资那些有严重亏损历史的公司。“这将是银行家、董事会和高级管理团队之间的对话，他们会说，‘这些是孤立的，不可比较的’，或者说，‘我们的情绪发生了转变，我们需要更加保守，并使用不同的战略’”，普华永道会计师事务所美国首次公开募股服务主管的大卫·埃思里奇说道。市场更容易接纳一些不太知名的公司，比如网络安全公司 Ping Identity (PING.N) 和云监测公司 Datadog Inc (DDOG.O)。这两家公司的亏损都较为温和，而且主要是向公司而非消费者销售产品。,1059,170,1000-1499,150-199
wmttest2024.en-zh.xml,test-en-literary_detestable_chunk_2_words_945,3,"No shit, I silently voiced to myself. Attempting to lockpick the chains that wrapped around his arms, voices closed in on our location, the faint footsteps growing ever louder. “Quick! Get back in the vent, and leave. Do not come back. If we meet again, it won’t be in this city.” He said hurriedly, the flash of panic on his face didn’t help my nerves at all. Listening to his advice. I couldn’t bring myself to stay longer. Fuck, Al. I quickly ran for it after exiting the vent; it hurt a bit to lose such an invaluable friend. Were they moving him to the…other city? So many things were flicking through my slightly scattered mind, and most of them were angry but sad. I’d done numerous kinds of research on the outer cities, and the capital of the infected, Alcatraz, which they named after the prison – felt like it fit the name pretty well from what I’d read. Not to mention the unmutated had cut any remaining connecting land with infected land, it was…tragic.",别说废话了，我默默地对自己说。我试图撬开缠绕在他双臂上的铁链。这时，有说话声向我们逼近，微弱的脚步声也变得越来越响。“快！回去通风孔，然后离开。别再回来了。如果我们还能再见面，不会是在这座城市。” 他焦急地说着，脸上闪过一丝恐慌，我的神经绷得更紧了。我听了他的劝告。我不能再让自己呆下去了。笨蛋，艾尔。从通风孔里爬出来，我撒腿就跑；失去这样一位弥足珍贵的朋友真让人有点伤心。他们会把他绑架到其他城市吗？我的思绪有有点杂乱，太多的事情在脑海中闪过，大多让人愤怒而悲伤。我曾对外围城区和被感染区Alcatraz做过很多调查——Alcatraz的名字来自那座监狱，从了解到的信息看，这个名字还挺贴切。更何况，未变异者已经切断了被感染区域与外界的所有联系，那真是——太惨了。,967,176,750-999,150-199
newstest2020.en-zh.xml,novinite.com.35573,4,"Romania and Bulgaria, located on the Black Sea coast, which in the past were allies of the USSR, have joined NATO and the EU since its collapse. In response to Russia's actions, they have asked the alliance to strengthen its presence in the region, writes The Times. In February, 500 US troops arrived at Romania's air base. An Eurofighter Typhoon fighter squadron of the British Air Force is stationed and deployed. Since April last year, these aircraft have repeatedly intercepted Russian fighter jets. Georgia, located on the eastern Black Sea coast, is also concerned about Russia's aspirations. It is not a member of the alliance, but is involved in NATO military exercises. NATO Secretary General Jens Stoltenberg said during a visit to Tbilisi in March that the alliance was ""preparing"" Georgia for accession. Ukraine has also participated in NATO exercises in the region and has been developing its engagement with the Union since 2014.",罗马尼亚和保加利亚位于黑海沿岸，过去曾是苏联的盟友，在苏联解体后加入了北约和欧盟。《泰晤士报》称，为回应俄罗斯的行动，他们要求北约加强其在该地区的势力。2 月，500 名美军抵达罗马尼亚的空军基地。英国空军的欧洲台风战斗机中队已驻扎并完成部署。自去年 4 月以来，这些飞机已经多次拦截俄罗斯战斗机。位于黑海东部沿海的格鲁吉亚也对俄罗斯的勃勃野心感到担忧。它不是北约成员，但参加了北约军事演习。北约秘书长延斯·斯托尔滕贝格在 3 月份访问第比利斯时表示，北约正在为格鲁吉亚加入“做准备”。乌克兰也参加了北约在该地区的演习，自 2014 年以来一直在发展与欧盟的关系。,944,154,750-999,150-199
wmttest2024.en-zh.xml,test-en-news_scotsman.87458,8,"Unfortunately, this consultation paper seems like a further attempt to impose controls on the sector. A far simpler solution would be to let the market return to normal, not impose external controls on rent levels, and the result will be lower rent increases than we have seen in the last 18 months. To stabilise rental prices in the long term then the government must encourage greater investment and growth in the private rented sector (PRS) while simultaneously funding a substantial growth in the supply of social housing. The greater the investment in the PRS the more stability will be created in the housing market. Increasing volumes in both the PRS and social housing markets will stabilise rents over time as demand meets supply and equilibrium is achieved. Only by adopting these measures will we start to address the current housing crisis. Anything else is simply not going to work.",遗憾的是，这份意见征询文件似乎是对房地产行业实施管制的进一步尝试。一个简单得多的解决方案是让市场恢复正常，而不是对租金水平实施外部管制，其结果将是租金涨幅低于过去18个月的水平。为了长期稳定租金价格，政府必须鼓励私人租赁部门加大投资和促进增长，同时为社会住房供应的大幅增长提供资金。私人租赁部门投资越大，房地产市场就越稳定。随着私人租赁部门扩大规模，社会住房供应数量增加，需求与供给实现平衡，租金涨幅将逐渐趋于稳定。只有采取这些措施，我们才能着手解决当前的住房危机。任何其他措施均无济于事。,895,149,750-999,100-149
wmttest2024.en-zh.xml,test-en-news_newsrepublic.com.6817,3,"The problems at the EPA are distinct but not unrelated to those at the Department of Justice, which handles environmental crimes via its Environment and Natural Resources Division, or ENRD. Prior to joining the EPA, Uhlmann - the EPA assistant secretary for enforcement - had served as the longtime head of that division's Environmental Crimes Section, from 1990 through 2007. The EPA sends its most serious civil and criminal cases to ENRD, which - as a relatively underfunded office - often relies on other agencies in helping to choose which fights to take on. In fiscal year 2022, the EPA deferred fewer cases to DOJ (88) than at any point since 2000 and concluded fewer civil judicial cases than it had since that time, as well. As the Environmental Integrity Project notes, even Trump's EPA concluded 94 civil cases and deferred 106 cases per year to the DOJ per year, on average.",美国环保局的问题与美国司法部的问题截然不同，但并非毫无关联，美国司法部通过其环境和自然资源司（ENRD）处理环境犯罪案件。乌尔曼是美国环保局负责执法的助理部长，在加入美国环保局之前，他从1990年到2007年长期担任美国司法部环境和自然资源司环境犯罪科的负责人。美国环保局将最严重的民事和刑事案件交由环境和自然资源司处理，而该司的资金相对不足，往往要依靠其他机构提供帮助，选择处理哪些案件。2022财年，美国环保局向美国司法部提交的案件数量（88）比2000财年以来的任何年份都要少，民事司法案件的结案数量也比2000财年以来的任何年份都要少。正如“环境完整性项目”所指出的，即使是在特朗普执政期间，美国环保局也平均每年审结94起民事案件，并将106起案件移交至美国司法部。,886,152,750-999,150-199
wmttest2024.en-zh.xml,test-en-news_beverly_press.3585,4,"Masterfully working across subject matter, Siso has generated a prolific series of landscapes, portraits, and still-life works rendered in either acrylic, pastel, pencil or watercolor. Drawing from family portraits, his own reference photographs, and recollection, his colorful compositions demonstrate his range of interests and skill across media. Siso's tropical landscapes and seascapes reflect the geographies of his past, employing rich patterns and incorporating people to make meaningful connections between culture, memory and the environment. Siso titles his artworks in a mix of Spanish and English, signifying the celebrated and integral complexities of his life in Los Angeles County. ""Vicente Siso: Memories of the Land and Water"" opens on Saturday, Jan. 13, with a reception from 6-8 p.m. The exhibition is on view through Sunday, March 3.",西索熟练掌握各种画风，用丙烯颜料、蜡笔、铅笔或水彩创作了一系列的风景、肖像和静物作品。他从家庭照、参考照片和回忆中汲取灵感，通过丰富多彩的构图展现自己的兴趣范围和跨媒介技能。西索的热带风景画和海景画复原过去的地理面貌，运用了丰富的构图，让人物融入其中，在文化、记忆和环境之间建立了有意义的联系。西索画作名称混杂着西班牙语和英语，象征着他在洛杉矶县的生活精彩又跌宕《维森特·西索：水与陆的记忆》将于1月13日（周六）开展，展览时间为晚上6-8点。展览将持续到3月3日（周日）。,854,126,750-999,100-149
wmttest2024.en-zh.xml,test-en-speech_Q5coSYYa6z0_000,1,"Affordable furniture DIYs are always a hit here on Lone Fox, so I wanted to share with you guys how I created this nightstand from a simple crate from IKEA. So this is the Nagle crate, which you can pick up for about $10 at IKEA. And I went ahead and I started off by just constructing it based off the instructions. You have to just screw all of the elements together. And once they are all screwed up, you have a basic wooden crate. Now on the bottom of the wooden crate, I wanted to add a leg, so I elevated it off the floor with these little wooden trinket dishes or like little wooden trays that I found at the craft store as well. They are just a simple wood, very similar to the one from IKEA, and I just e 6,000 these down. You could also use a nail gun if you'd like to. And once you are done, you have a very simple, minimal nightstand.",平价DIY家具在Lone Fox一直很受欢迎，所以我想和大家分享一下，我是如何利用宜家的一个简易板条箱制作这个床头柜的。这是Knagglig板条箱，你在宜家花10美元左右就能买到。于是我就动手了。一开始我只是按照说明组装。你得用螺丝把所有零件固定在一起。全部固定好后，就成了一个简单的木质板条箱。现在，我想在木箱的底部加一条腿，所以我用这些小的木制饰品盘，或者我在工艺品店找到的那种小木托盘把底板抬高。这些不过是简单的木结构，和宜家的那种很像，我用E6000就把它们粘好了。如果你愿意，也可以使用钉枪。操作完成，一个简易的床头柜就做好了。,846,169,750-999,150-199
newstest2020.en-zh.xml,sciencedaily.com.75569,6,"Interestingly, one of the 12 galaxies in z66OD was a giant object with a huge body of gas, known as Himiko, which was found previously by the Subaru Telescope in 2009. ""It is reasonable to find a protocluster near a massive object, such as Himiko. However, we're surprised to see that Himiko was located not in the center of the protocluster, but on the edge 500 million light-years away from the center."" said Masami Ouchi, a team member at the National Astronomical Observatory of Japan and the University of Tokyo, who discovered Himiko in 2009. Ironically, the mythological queen Himiko is also said to have lived cloistered away from her people. Ouchi continues, ""It is still not understood why Himiko is not located in the center. These results will be a key for understanding the relationship between clusters and massive galaxies.""",有趣的是，在 z66OD 的 12 个星系中，有一个是在 2009 年通过斯巴鲁望远镜发现的大型星系卑弥呼，其中包含了大量气体。卑弥呼星系发现者日本国家天文台和东京大学的团队成员长泽正美提到：“在卑弥呼这样的大质量天体附近是有可能发现原星团的。然而，我们惊讶的是，卑弥呼并不是位于原星系团的中心，而是在距离中心 5 亿光年的边缘上”。讽刺的是，神话中的皇后卑弥呼据说也是过着与世隔绝的生活。正美继续谈到：“目前尚不清楚为什么卑弥呼不在中间位置。但是这些结果将是了解星系团和大质量星系之间关系的重要信息。”,839,141,750-999,100-149
wmttest2024.en-zh.xml,test-en-literary_detestable_chunk_1_words_982,6,"The cold, rainy night ensued my long overdue walk–exploring the city of Paltricus was a privilege to those who’d been safe from the mutation via escape, or pure luck. The city night was beautiful, illuminated with vibrant stars that remained for thousands of years. It must be lonely in the great distant sky. Paltricus was a nice place, but it felt more like a cage than a luxurious place of living. Filled to the brim with apartments, homes, and any other building able to hold occupants, most buildings were hundreds of stories tall; thanks to Ignniat. The mineral that appeased technology, and architecture was a great mineral that extended our foundation of life. Public knowledge only knows so much about this mineral though, mainly because mainly because it’s kept under pretty tough wraps.",我走了很久很久——对于成功或侥幸从突变中脱逃的幸存者而言，探索Paltricus这座城市真是一种殊荣——直到寒冷的雨夜降临。闪烁的繁星千年如一日，照耀着大地，把城市的夜晚衬托得异常美丽。置身于遥远的星空，一定很孤单吧。Paltricus是个不错的地方，但给人的感觉更像是座囚笼，而不是豪华的住处。城市里塞满了各式公寓、房屋和其他供人居住的建筑，大多有数百层高——都是Ignniat的功劳。这种矿产完全满足了科技的需求；建筑也因此得以扩充我们的生命根基。然而，公众对它的了解有限，主要是因为它被严严实实地包裹起来了。,797,133,750-999,100-149
